date,wssPrecipTotal,precipQF
"2018-05-01",2.470,0
"2018-05-02",2.550,0
"2018-05-03",1.990,0
"2018-05-04",1.720,0
"2018-05-05",1.130,0
"2018-05-06",1.140,0
"2018-05-07",2.070,0
"2018-05-08",2.130,0
"2018-05-09",2.370,0
"2018-05-10",2.310,0
"2018-05-11",1.580,0
"2018-05-12",1.100,0
"2018-05-13",1.250,0
"2018-05-14",10.150,0
"2018-05-15",31.100,0
"2018-05-16",3.960,0
"2018-05-17",6.410,0
"2018-05-18",4.620,0
"2018-05-19",0.980,0
"2018-05-20",11.180,0
"2018-05-21",9.250,0
"2018-05-22",6.100,0
"2018-05-23",2.060,0
"2018-05-24",1.560,0
"2018-05-25",1.470,0
"2018-05-26",1.330,0
"2018-05-27",17.570,0
"2018-05-28",6.330,0
"2018-05-29",9.200,0
"2018-05-30",26.110,0
"2018-05-31",1.110,0
