date,wssPrecipTotal,precipQF
"2019-05-01",0.380,0
"2019-05-02",0.770,0
"2019-05-03",0.660,0
"2019-05-04",5.090,0
"2019-05-05",17.560,0
"2019-05-06",0.660,0
"2019-05-07",0.140,0
"2019-05-08",2.090,0
"2019-05-09",0.700,0
"2019-05-10",3.220,0
"2019-05-11",0.150,0
"2019-05-12",8.710,0
"2019-05-13",6.950,0
"2019-05-14",0.490,0
"2019-05-15",0.340,0
"2019-05-16",0.930,0
"2019-05-17",0.350,0
"2019-05-18",4.340,0
"2019-05-19",0.780,0
"2019-05-20",1.170,0
"2019-05-21",0.530,0
"2019-05-22",0.430,0
"2019-05-23",1.220,0
"2019-05-24",2.920,0
"2019-05-25",11.160,0
"2019-05-26",0.830,0
"2019-05-27",0.780,0
"2019-05-28",1.940,0
"2019-05-29",0.730,0
"2019-05-30",3.030,0
"2019-05-31",1.030,0
