date,wssPrecipTotal,precipQF
"2018-12-01",1.500,0
"2018-12-02",1.210,0
"2018-12-03",0.280,0
"2018-12-04",0.190,0
"2018-12-05",0.880,0
"2018-12-06",0.200,0
"2018-12-07",0.210,0
"2018-12-08",0.300,0
"2018-12-09",0.080,0
"2018-12-10",0.880,0
"2018-12-11",0.460,0
"2018-12-12",0.600,0
"2018-12-13",1.230,0
"2018-12-14",1.200,0
"2018-12-15",52.770,0
"2018-12-16",25.070,0
"2018-12-17",0.340,0
"2018-12-18",0.320,0
"2018-12-19",0.740,0
"2018-12-20",3.220,0
"2018-12-21",44.710,0
"2018-12-22",0.290,0
"2018-12-23",0.780,0
"2018-12-24",0.620,0
"2018-12-25",0.580,0
"2018-12-26",1.100,0
"2018-12-27",0.660,0
"2018-12-28",14.320,0
"2018-12-29",0.000,0
"2018-12-30",0.300,0
"2018-12-31",4.820,0
