date,wssPrecipTotal,precipQF
"2019-06-01",0.170,0
"2019-06-02",4.620,0
"2019-06-03",0.430,0
"2019-06-04",0.130,0
"2019-06-05",0.540,0
"2019-06-06",0.600,0
"2019-06-07",0.250,0
"2019-06-08",0.530,0
"2019-06-09",7.730,0
"2019-06-10",7.380,0
"2019-06-11",2.600,0
"2019-06-12",0.540,0
"2019-06-13",6.460,0
"2019-06-14",0.730,0
"2019-06-15",0.470,0
"2019-06-16",0.830,0
"2019-06-17",0.590,0
"2019-06-18",0.890,0
"2019-06-19",0.850,0
"2019-06-20",0.650,0
"2019-06-21",0.680,0
"2019-06-22",0.270,0
"2019-06-23",0.040,0
"2019-06-24",2.390,0
"2019-06-25",4.160,0
"2019-06-26",0.150,1
"2019-06-27",0.000,1
"2019-06-28",0.000,1
"2019-06-29",0.000,1
"2019-06-30",0.000,1
