date,wssPrecipTotal,precipQF
"2018-08-01",7.240,0
"2018-08-02",0.290,0
"2018-08-03",7.560,0
"2018-08-04",16.110,0
"2018-08-05",0.870,0
"2018-08-06",0.500,0
"2018-08-07",12.020,0
"2018-08-08",15.610,0
"2018-08-09",5.100,0
"2018-08-10",0.760,0
"2018-08-11",17.570,0
"2018-08-12",57.590,0
"2018-08-13",3.840,0
"2018-08-14",11.170,0
"2018-08-15",0.540,0
"2018-08-16",0.490,0
"2018-08-17",1.330,0
"2018-08-18",16.800,0
"2018-08-19",0.910,0
"2018-08-20",0.910,0
"2018-08-21",0.630,0
"2018-08-22",15.410,0
"2018-08-23",0.800,0
"2018-08-24",0.530,0
"2018-08-25",1.220,0
"2018-08-26",1.130,0
"2018-08-27",0.970,0
"2018-08-28",0.530,0
"2018-08-29",0.700,0
"2018-08-30",1.070,0
"2018-08-31",0.710,0
