date,wssPrecipTotal,precipQF
"2018-07-01",0.120,0
"2018-07-02",0.200,0
"2018-07-03",0.470,0
"2018-07-04",0.370,0
"2018-07-05",0.220,0
"2018-07-06",4.410,0
"2018-07-07",0.400,0
"2018-07-08",0.650,0
"2018-07-09",0.720,0
"2018-07-10",0.760,0
"2018-07-11",0.570,0
"2018-07-12",0.150,0
"2018-07-13",0.300,0
"2018-07-14",0.430,0
"2018-07-15",9.870,0
"2018-07-16",0.490,0
"2018-07-17",33.370,0
"2018-07-18",0.440,0
"2018-07-19",0.380,0
"2018-07-20",0.690,0
"2018-07-21",0.580,0
"2018-07-22",6.250,0
"2018-07-23",36.770,0
"2018-07-24",7.820,0
"2018-07-25",1.670,0
"2018-07-26",14.080,0
"2018-07-27",0.640,0
"2018-07-28",8.160,0
"2018-07-29",1.020,0
"2018-07-30",0.690,0
"2018-07-31",0.540,0
