date,wssPrecipTotal,precipQF
"2018-04-01",1.020,0
"2018-04-02",2.860,1
"2018-04-03",4.390,0
"2018-04-04",6.670,0
"2018-04-05",1.290,1
"2018-04-06",2.420,1
"2018-04-07",6.040,1
"2018-04-08",1.520,1
"2018-04-09",1.480,0
"2018-04-10",1.130,0
"2018-04-11",0.580,1
"2018-04-12",2.380,0
"2018-04-13",1.990,0
"2018-04-14",2.000,0
"2018-04-15",0.920,0
"2018-04-16",32.210,0
"2018-04-17",0.970,0
"2018-04-18",0.730,0
"2018-04-19",4.040,0
"2018-04-20",0.520,0
"2018-04-21",0.780,0
"2018-04-22",0.550,0
"2018-04-23",0.310,0
"2018-04-24",0.400,0
"2018-04-25",7.970,0
"2018-04-26",4.340,0
"2018-04-27",4.950,0
"2018-04-28",0.950,0
"2018-04-29",5.020,0
"2018-04-30",4.290,0
