date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2019-03-01",-6.2905,-9.8037,-0.1690,11.6347,0.0116,86400.0,0
"2019-03-02",-2.6865,-4.7339,-0.0513,1.8029,0.0046,86400.0,0
"2019-03-03",-0.8884,-3.3790,2.5988,2.5868,0.0055,86400.0,0
"2019-03-04",-1.9086,-4.4725,0.7712,0.7300,0.0029,86400.0,0
"2019-03-05",-8.9819,-13.7716,-4.4728,6.7422,0.0088,86400.0,0
"2019-03-06",-10.1722,-13.8656,-6.1107,3.7978,0.0066,86400.0,0
"2019-03-07",-11.4526,-16.3455,-6.4496,10.1629,0.0111,82962.0,0
"2019-03-08",-7.8498,-12.3683,-1.1778,14.5428,0.0130,86400.0,0
"2019-03-09",-1.8900,-5.9489,4.5572,13.2114,0.0124,86400.0,0
"2019-03-10",-1.7698,-3.7341,2.3120,1.6541,0.0047,76020.0,0
"2019-03-11",2.1801,-0.5060,5.4884,2.1903,0.0058,65130.0,1
"2019-03-12",-0.6754,-2.8462,2.3552,2.1620,0.0050,86400.0,0
"2019-03-13",-1.0705,-6.4540,4.1092,11.6618,0.0116,86400.0,0
"2019-03-14",3.5205,0.3235,9.3169,9.8012,0.0107,86400.0,0
"2019-03-15",9.5032,5.0213,15.2292,8.6081,0.0100,86400.0,0
"2019-03-16",4.5052,-0.4248,11.9293,12.3200,0.0120,86220.0,0
"2019-03-17",-2.4048,-4.1656,-0.1563,0.9514,0.0033,86400.0,0
"2019-03-18",-3.3700,-6.9142,1.3097,6.9649,0.0090,86400.0,0
"2019-03-19",-1.3744,-4.4935,2.7526,4.5215,0.0072,86400.0,0
"2019-03-20",1.8169,-3.1165,8.1060,13.0695,0.0123,86400.0,0
"2019-03-21",2.9601,-0.1770,6.0360,3.4243,0.0063,86400.0,0
"2019-03-22",1.1402,-0.2453,4.2928,1.2172,0.0038,86370.0,0
"2019-03-23",-0.6756,-3.4330,2.7152,3.0675,0.0060,86400.0,0
"2019-03-24",1.7610,-3.4387,10.6836,26.0688,0.0174,86400.0,0
"2019-03-25",3.3189,-0.9286,7.9437,6.1947,0.0104,56830.0,1
"2019-03-26",1.0567,-0.5444,2.2898,0.4617,0.0047,20870.0,1
"2019-03-27",-0.4171,-5.1020,5.1852,10.5924,0.0111,86400.0,0
"2019-03-28",1.8236,-3.3469,8.5151,17.2383,0.0141,86400.0,0
"2019-03-29",4.9569,2.8195,7.3534,1.9158,0.0047,86400.0,0
"2019-03-30",8.8060,4.6193,17.3619,20.1618,0.0153,86400.0,0
"2019-03-31",10.0496,1.5778,14.9179,16.7999,0.0139,86400.0,0
