date,wssStaPresMean,wssStaPresMinimum,wssStaPresMaximum,wssStaPresVariance,wssStaPresStdErMean,wssStaPresNumPts,staPresQF,wssCorPres,corPresQF
"2018-02-01",,,,-0.00000,,0.0,1,,1
"2018-02-02",,,,-0.00000,,0.0,1,,1
"2018-02-03",,,,-0.00000,,0.0,1,,1
"2018-02-04",,,,-0.00000,,0.0,1,,1
"2018-02-05",97.89622,97.77072,98.04067,0.00372,0.00108,3217.0,1,102.37034,1
"2018-02-06",98.13957,97.83071,98.68055,0.05734,0.00258,8640.0,0,102.63469,0
"2018-02-07",97.94944,96.92087,98.71054,0.35404,0.00640,8640.0,0,102.41986,0
"2018-02-08",98.25203,97.44078,98.70055,0.11683,0.00368,8640.0,0,102.75726,0
"2018-02-09",98.61293,98.21063,98.83052,0.03235,0.00194,8640.0,0,103.12339,0
"2018-02-10",97.89835,97.38079,98.31061,0.08231,0.00309,8640.0,0,102.27000,0
"2018-02-11",97.10446,96.73091,97.45078,0.04537,0.00229,8640.0,0,101.33906,0
"2018-02-12",98.06574,96.95087,99.20045,0.48941,0.00753,8640.0,0,102.37923,0
"2018-02-13",99.49351,99.20045,99.76034,0.02469,0.00169,8640.0,0,104.03815,0
"2018-02-14",98.45150,97.68073,99.21044,0.18317,0.00467,8412.0,0,102.88480,0
"2018-02-15",97.11905,96.53095,97.68073,0.09859,0.00338,8640.0,0,101.27970,0
"2018-02-16",96.58207,96.15102,97.53076,0.09406,0.00330,8640.0,0,100.73851,0
"2018-02-17",98.03232,97.53076,98.36061,0.05855,0.00260,8640.0,0,102.49859,0
"2018-02-18",97.95821,97.22082,98.61056,0.27597,0.00565,8640.0,0,102.38686,0
"2018-02-19",98.46098,98.15065,98.66055,0.02384,0.00166,8640.0,0,102.85397,0
"2018-02-20",98.30116,98.16065,98.50058,0.00878,0.00101,8640.0,0,102.54838,0
"2018-02-21",98.34511,98.17064,98.46059,0.00481,0.00075,8640.0,0,102.52110,0
"2018-02-22",98.75937,98.42059,99.06047,0.01896,0.00148,8640.0,0,103.06757,0
"2018-02-23",98.83626,98.16065,99.17045,0.10281,0.00345,8640.0,0,103.24920,0
"2018-02-24",97.82783,97.52077,98.21063,0.02950,0.00185,8640.0,0,102.14975,0
"2018-02-25",97.29589,96.85089,97.81071,0.05906,0.00261,8640.0,0,101.56850,0
"2018-02-26",97.77320,97.26081,98.17064,0.06897,0.00283,8640.0,0,102.08141,0
"2018-02-27",98.47384,98.14065,98.80053,0.03830,0.00211,8639.0,0,102.86557,0
"2018-02-28",97.58278,96.98087,98.15065,0.10823,0.00354,8640.0,0,101.89144,0
