date,wssStaPresMean,wssStaPresMinimum,wssStaPresMaximum,wssStaPresVariance,wssStaPresStdErMean,wssStaPresNumPts,staPresQF,wssCorPres,corPresQF
"2019-07-01",101.08622,100.86947,101.18948,0.00764,0.00094,8640.0,0,101.66295,0
"2019-07-02",100.95119,100.69945,101.08947,0.01097,0.00113,8640.0,0,101.52441,0
"2019-07-03",100.83468,100.62945,100.96947,0.00694,0.00092,8208.0,0,101.40834,0
"2019-07-04",100.94642,100.79946,101.09947,0.00716,0.00091,8640.0,0,101.52155,0
"2019-07-05",101.24900,101.09947,101.47949,0.00861,0.00102,8212.0,0,101.83018,0
"2019-07-06",101.28699,101.15948,101.42949,0.00507,0.00077,8640.0,0,101.86970,0
"2019-07-07",101.03545,100.75946,101.21948,0.01398,0.00127,8640.0,0,101.61523,0
"2019-07-08",100.70305,100.45944,100.85946,0.01311,0.00123,8640.0,0,101.27946,0
"2019-07-09",100.73326,100.60945,100.85946,0.00454,0.00072,8640.0,0,101.30977,0
"2019-07-10",100.90933,100.74946,101.03947,0.00442,0.00072,8640.0,0,101.48654,0
"2019-07-11",100.93491,100.71946,101.06947,0.00767,0.00094,8640.0,0,101.51208,0
"2019-07-12",100.93253,100.81946,101.15948,0.00490,0.00075,8640.0,0,101.51086,0
"2019-07-13",101.26213,101.01947,101.49949,0.01886,0.00148,8640.0,0,101.84225,0
"2019-07-14",101.43713,101.23948,101.60950,0.00928,0.00104,8640.0,0,102.01287,0
"2019-07-15",101.35618,101.20948,101.45949,0.00421,0.00070,8640.0,0,101.93252,0
"2019-07-16",101.38269,101.22948,101.53949,0.00617,0.00084,8640.0,0,101.96047,0
"2019-07-17",101.38944,101.18948,101.56949,0.00413,0.00069,8640.0,0,101.96952,0
"2019-07-18",101.30422,101.08947,101.41949,0.00885,0.00101,8611.0,0,101.88506,0
"2019-07-19",101.27953,101.10947,101.42949,0.00619,0.00085,8640.0,0,101.85873,0
"2019-07-20",101.26098,100.99947,101.41949,0.00963,0.00106,8640.0,0,101.84134,0
"2019-07-21",101.22384,101.02947,101.29949,0.00305,0.00059,8640.0,0,101.80525,0
"2019-07-22",101.11840,100.86947,101.29949,0.01274,0.00121,8640.0,0,101.69950,0
"2019-07-23",100.84081,100.56945,101.09947,0.01936,0.00150,8640.0,0,101.41868,0
"2019-07-24",100.75584,100.60945,100.94946,0.00608,0.00084,8631.0,0,101.33667,0
"2019-07-25",101.07070,100.73946,101.27948,0.01934,0.00150,8640.0,0,101.65537,0
"2019-07-26",101.38321,101.21948,101.55949,0.00937,0.00104,8640.0,0,101.96910,0
"2019-07-27",101.53720,101.38949,101.67950,0.00718,0.00091,8640.0,0,102.12123,0
"2019-07-28",101.45585,101.24948,101.58949,0.00751,0.00093,8640.0,0,102.03896,0
"2019-07-29",101.19420,100.95947,101.36949,0.01125,0.00114,8640.0,0,101.77544,0
"2019-07-30",101.10151,100.94946,101.23948,0.00601,0.00083,8640.0,0,101.68008,0
"2019-07-31",101.15829,100.99947,101.28948,0.00425,0.00070,8640.0,0,101.73646,0
