date,wssStaPresMean,wssStaPresMinimum,wssStaPresMaximum,wssStaPresVariance,wssStaPresStdErMean,wssStaPresNumPts,staPresQF,wssCorPres,corPresQF
"2019-07-01",97.37144,97.03850,97.54853,0.01401,0.00127,8630.0,0,101.45001,0
"2019-07-02",97.20970,96.91849,97.36852,0.01897,0.00148,8640.0,0,101.25111,0
"2019-07-03",97.15433,96.95849,97.28852,0.00766,0.00094,8640.0,0,101.18182,0
"2019-07-04",97.50318,97.24852,97.79855,0.01582,0.00135,8640.0,0,101.54024,0
"2019-07-05",97.76367,97.58854,97.90856,0.00702,0.00090,8640.0,0,101.82604,0
"2019-07-06",97.44847,97.09850,97.72855,0.03216,0.00193,8640.0,0,101.48545,0
"2019-07-07",97.18507,97.01849,97.31852,0.00749,0.00093,8640.0,0,101.21141,0
"2019-07-08",97.16419,96.98849,97.48853,0.01759,0.00143,8640.0,0,101.20639,0
"2019-07-09",97.66071,97.48853,97.79855,0.00607,0.00084,8640.0,0,101.75073,0
"2019-07-10",97.61843,97.36852,97.73855,0.00924,0.00103,8640.0,0,101.66997,0
"2019-07-11",97.16249,96.80848,97.40852,0.02982,0.00186,8640.0,0,101.18778,0
"2019-07-12",96.92595,96.72847,97.06850,0.00680,0.00089,8640.0,0,100.95403,0
"2019-07-13",97.37252,97.06850,97.56854,0.01635,0.00138,8640.0,0,101.41763,0
"2019-07-14",97.54810,97.38853,97.70855,0.00649,0.00087,8640.0,0,101.58349,0
"2019-07-15",97.73723,97.55854,97.91856,0.00922,0.00106,8254.0,0,101.78564,0
"2019-07-16",97.73090,97.56854,97.85856,0.00604,0.00084,8640.0,0,101.76553,0
"2019-07-17",97.45293,97.09850,97.66855,0.02316,0.00169,8082.0,0,101.46780,0
"2019-07-18",97.15664,97.03850,97.24852,0.00295,0.00058,8640.0,0,101.16353,0
"2019-07-19",97.31025,97.14851,97.48853,0.00850,0.00099,8640.0,0,101.30602,0
"2019-07-20",97.30007,97.10851,97.47853,0.01192,0.00117,8640.0,0,101.28084,0
"2019-07-21",97.21557,97.05850,97.50853,0.00479,0.00074,8640.0,0,101.21540,0
"2019-07-22",97.02267,96.74848,97.28852,0.02139,0.00157,8640.0,0,101.04846,0
"2019-07-23",97.03879,96.75847,97.20851,0.01599,0.00136,8640.0,0,101.11544,0
"2019-07-24",97.35683,97.11850,97.53854,0.01616,0.00137,8640.0,0,101.45269,0
"2019-07-25",97.85784,97.53854,98.03858,0.02142,0.00161,8234.0,0,101.97949,0
"2019-07-26",98.26847,98.00857,98.43860,0.01275,0.00121,8640.0,0,102.38906,0
"2019-07-27",98.27997,98.02857,98.44860,0.01271,0.00124,8238.0,0,102.37552,0
"2019-07-28",97.99396,97.69855,98.13858,0.01905,0.00156,7868.0,0,102.05371,0
"2019-07-29",97.66170,97.38853,97.80856,0.01513,0.00132,8640.0,0,101.70337,0
"2019-07-30",97.48613,97.30852,97.65854,0.00303,0.00059,8640.0,0,101.52956,0
"2019-07-31",97.61542,97.45853,97.78856,0.00692,0.00090,8640.0,0,101.69444,0
