date,wssStaPresMean,wssStaPresMinimum,wssStaPresMaximum,wssStaPresVariance,wssStaPresStdErMean,wssStaPresNumPts,staPresQF,wssCorPres,corPresQF
"2018-10-01",98.27187,98.11065,98.41060,0.00730,0.00092,8640.0,0,102.40679,0
"2018-10-02",97.92655,97.58075,98.18064,0.03395,0.00198,8640.0,0,102.02094,0
"2018-10-03",97.61944,97.55076,97.74072,0.00269,0.00057,8305.0,0,101.68427,0
"2018-10-04",97.50124,97.30081,97.67073,0.01158,0.00116,8640.0,0,101.55431,0
"2018-10-05",97.67593,97.37079,97.91069,0.02828,0.00181,8640.0,0,101.78252,0
"2018-10-06",97.87584,97.76072,98.00067,0.00444,0.00072,8640.0,0,102.01308,0
"2018-10-07",98.02504,97.86070,98.18064,0.00911,0.00103,8640.0,0,102.10831,0
"2018-10-08",98.34248,98.11065,98.52058,0.01063,0.00113,8277.0,0,102.42462,0
"2018-10-09",98.36415,98.07066,98.51058,0.01776,0.00143,8640.0,0,102.46109,0
"2018-10-10",97.69662,97.16083,98.10065,0.07399,0.00293,8640.0,0,101.76986,0
"2018-10-11",96.58522,96.03104,97.16083,0.09510,0.00332,8640.0,0,100.62304,0
"2018-10-12",96.55891,96.06103,96.88089,0.06424,0.00273,8640.0,0,100.72310,0
"2018-10-13",97.05523,96.66093,97.64074,0.07643,0.00297,8640.0,0,101.30796,0
"2018-10-14",97.92183,97.63075,98.17064,0.01482,0.00131,8640.0,0,102.23196,0
"2018-10-15",97.58823,97.24081,97.94069,0.04184,0.00220,8640.0,0,101.78711,0
"2018-10-16",97.75883,97.27081,98.07066,0.04462,0.00227,8640.0,0,101.97857,0
"2018-10-17",97.58118,97.44078,97.75072,0.00418,0.00070,8640.0,0,101.81396,0
"2018-10-18",98.43019,97.75072,98.78053,0.08406,0.00312,8640.0,0,102.74847,0
"2018-10-19",98.20603,97.34080,98.62056,0.16805,0.00441,8640.0,0,102.52187,0
"2018-10-20",96.72273,96.29099,97.36079,0.07746,0.00299,8640.0,0,100.88950,0
"2018-10-21",97.33633,96.34098,98.06066,0.29837,0.00588,8640.0,0,101.64407,0
"2018-10-22",98.15179,98.05067,98.28062,0.00335,0.00075,5890.0,1,102.56461,1
"2018-10-23",,,,-0.00000,,0.0,1,,1
"2018-10-24",,,,-0.00000,,0.0,1,,1
"2018-10-25",,,,-0.00000,,0.0,1,,1
"2018-10-26",,,,-0.00000,,0.0,1,,1
"2018-10-27",,,,-0.00000,,0.0,1,,1
"2018-10-28",,,,-0.00000,,0.0,1,,1
"2018-10-29",97.33060,97.03085,97.48853,0.01619,0.00253,2525.0,1,101.58829,1
"2018-10-30",97.73692,97.47853,97.95857,0.01630,0.00137,8640.0,0,102.01660,0
"2018-10-31",97.49544,97.12850,97.79855,0.04802,0.00236,8640.0,0,101.73138,0
