date,wssStaPresMean,wssStaPresMinimum,wssStaPresMaximum,wssStaPresVariance,wssStaPresStdErMean,wssStaPresNumPts,staPresQF,wssCorPres,corPresQF
"2019-01-01",97.22627,96.63474,97.92491,0.11285,0.00599,3145.0,1,101.58481,1
"2019-01-02",97.95111,97.21482,98.32496,0.09253,0.00327,8640.0,0,102.42563,0
"2019-01-03",97.12410,96.72475,98.00492,0.16454,0.00436,8640.0,0,101.51878,0
"2019-01-04",96.93701,96.64474,97.15481,0.02424,0.00167,8640.0,0,101.30571,0
"2019-01-05",96.16862,95.61460,96.74476,0.12075,0.00374,8640.0,0,100.49010,0
"2019-01-06",96.46454,95.88464,97.50485,0.18011,0.00457,8640.0,0,100.81938,0
"2019-01-07",98.27200,97.49486,98.70502,0.11544,0.00366,8640.0,0,102.84974,0
"2019-01-08",97.58005,96.39471,98.43498,0.36976,0.00654,8640.0,0,102.03615,0
"2019-01-09",95.46498,95.03453,96.50472,0.16217,0.00440,8382.0,0,99.74865,0
"2019-01-10",95.62996,95.32456,96.29469,0.07728,0.00299,8640.0,0,99.97989,0
"2019-01-11",97.16354,96.28469,97.94491,0.22219,0.00507,8640.0,0,101.68841,0
"2019-01-12",98.48084,97.93491,98.75502,0.04625,0.00231,8640.0,0,103.11777,0
"2019-01-13",98.58677,98.34497,98.76503,0.01586,0.00136,8640.0,0,103.21412,0
"2019-01-14",98.04696,97.56487,98.40498,0.06540,0.00275,8640.0,0,102.62159,0
"2019-01-15",97.46160,97.32483,97.62487,0.00567,0.00081,8640.0,0,101.95829,0
"2019-01-16",97.16942,96.93478,97.51486,0.03089,0.00189,8640.0,0,101.62431,0
"2019-01-17",98.05136,97.20482,98.48499,0.11541,0.00365,8640.0,0,102.60291,0
"2019-01-18",97.68322,97.24482,98.19495,0.09621,0.00334,8640.0,0,102.16541,0
"2019-01-19",97.82174,97.39484,98.22495,0.05038,0.00241,8640.0,0,102.30144,0
"2019-01-20",96.12026,94.82449,97.81490,1.01987,0.01086,8640.0,0,100.57329,0
"2019-01-21",96.18367,95.33456,97.13481,0.20884,0.00492,8640.0,0,100.85627,0
"2019-01-22",98.31319,97.10480,99.01506,0.36349,0.00649,8640.0,0,103.01050,0
"2019-01-23",98.22605,97.34483,99.00506,0.29085,0.00580,8640.0,0,102.75689,0
"2019-01-24",96.12184,94.74449,97.35484,0.72968,0.00919,8640.0,0,100.35277,0
"2019-01-25",96.41465,95.05452,97.22482,0.24263,0.00530,8640.0,0,100.78549,0
"2019-01-26",97.69649,97.22482,97.98492,0.02940,0.00184,8640.0,0,102.21746,0
"2019-01-27",97.55089,96.87477,98.01492,0.16915,0.00442,8640.0,0,102.03189,0
"2019-01-28",97.27466,96.89478,97.59487,0.03291,0.00204,7884.0,0,101.74310,0
"2019-01-29",97.28641,96.82476,97.47485,0.03350,0.00197,8640.0,0,101.81337,0
"2019-01-30",96.47052,96.24469,96.85477,0.02211,0.00160,8640.0,0,100.92238,0
"2019-01-31",97.55565,96.58473,97.95492,0.10489,0.00348,8640.0,0,102.27907,0
